territorio,anno,lettori_ita,lettori_str,opere_consultate,lettori,posti_per_lettori,persone_ammesse_al_prestito,spese_gestione
Piemonte,2009,79338,4976,103020,84314,420,54029,3300471
Liguria,2009,49182,7900,22132,57082,99,1621,717617
Lombardia,2009,199063,12903,281634,211966,523,7419,2752461
Veneto,2009,74223,8844,97407,83067,328,4946,2226531
Friuli-Venezia Giulia,2009,88574,2670,92131,91244,222,8089,901255
Emilia-Romagna,2009,46257,2229,43813,48486,362,6775,1688719
Toscana,2009,243299,7982,645533,251281,869,8745,4545289
Marche,2009,14196,3450,26340,17646,104,4740,116962
Lazio,2009,412757,16397,667619,429154,1879,44217,9814854
Campania,2009,119671,2130,242709,121801,828,6646,2906016
Puglia,2009,17415,173,9084,17588,230,542,1144753
Basilicata,2009,46260,111,12603,46371,0,1040,453684
Calabria,2009,9342,122,7306,9464,65,589,619223
Sardegna,2009,34334,530,29304,34864,238,8837,598737
Piemonte,2010,101187,5520,86444,106707,420,64961,1458045
Liguria,2010,50915,8212,17718,59127,99,2050,618441
Lombardia,2010,197398,17841,276842,215239,523,5905,2609851
Veneto,2010,76004,10589,97133,86593,328,4237,1448916
Friuli-Venezia Giulia,2010,73145,2348,84657,75493,222,6844,801128
Emilia-Romagna,2010,66607,8273,36105,74880,362,10096,1452517
Toscana,2010,186575,27564,535559,214139,789,9972,4469160
Marche,2010,16933,3570,26900,20503,104,3820,109947
Lazio,2010,401235,17469,551077,418704,1982,40063,8071804
Campania,2010,94095,1464,175954,95559,828,6499,2755563
Puglia,2010,23707,310,9024,24017,230,573,1210731
Basilicata,2010,47311,343,11390,47654,313,687,382595
Calabria,2010,8018,114,6692,8132,65,660,552229
Sardegna,2010,32633,863,64227,33496,238,9238,690857	